Gas Injection Rate (GRATES),Water Injection Rate (WRATES),oil_pro_vol,wat_inj_vol,wat_pro_vol,gas_inj_vol,gas_pro_vol,gas_retained,co2_injected,co2_backprod,co2_retained,prod_bhp,inj_bhp,ratio_oil_to_inj_vol
4242.695210842088,6131.563537224787,11096293.0,11190103.0,158469.15625,7742919.0,11411339.0,-3668420.0,7742922.5,5055381.5,2687541.0,2400.0,0.0,0.5860814507055451
4672.1153184342675,12437.705828554992,19044558.0,22698814.0,473110.09375,8526610.0,16690940.0,-8164330.0,8526624.0,5782219.0,2744405.0,2400.0,0.0,0.6099055052062704
1443.6088044416501,12594.361297066533,18525788.0,22984710.0,496855.78125,2634586.0,11807105.0,-9172519.0,2634629.0,1195538.625,1439090.375,2400.0,0.0,0.7231185431481021
3825.4894345629527,5042.299125216221,9658610.0,9202196.0,142257.15625,6981518.0,9783874.0,-2802356.0,6981506.0,4251421.5,2730084.5,2400.0,0.0,0.5968104725528393
1359.1903911771699,10456.35641247412,16065234.0,19082850.0,217374.328125,2480522.5,10370985.0,-7890462.5,2480531.25,1168818.5,1311712.75,2400.0,0.0,0.7450241839489625
4379.484676299055,13304.898078769153,19378304.0,24281438.0,1160367.125,7992559.5,16242738.0,-8250178.5,7992554.5,5142845.5,2849709.0,2400.0,0.0,0.6004308576896927
3247.0994059438613,7436.550914262635,12553971.0,13571705.0,174655.28125,5925956.5,10911309.0,-4985352.5,5925945.5,3720397.75,2205547.75,2400.0,0.0,0.643870599558824
2672.273349640607,13712.889025421537,19193150.0,24966596.0,1651630.875,4876899.0,13606039.0,-8729140.0,4876855.0,2612202.25,2264652.75,2400.0,0.0,0.6431267517427165
4924.303968525121,7646.251025834152,13191329.0,13954408.0,181818.09375,8986855.0,13768123.0,-4781268.0,8986857.0,6212131.0,2774726.0,2400.0,0.0,0.575004479919
4603.988784950748,11491.918112518357,18145482.0,20972750.0,249780.921875,8402280.0,16217801.0,-7815521.0,8402262.0,5824068.5,2578193.5,2400.0,0.0,0.6177179053093733
4394.344984309156,11945.474748080764,18608788.0,21800492.0,295029.5625,8019679.5,16117119.0,-8097439.5,8019673.0,5458005.5,2561667.5,2400.0,0.0,0.6240335673455131
1728.0957146410724,14261.859142217458,19059278.0,25792318.0,2298510.0,3153774.75,12271064.0,-9117289.25,3153779.25,1353916.875,1799862.375,2400.0,0.0,0.6584404383904283
2479.6722345438347,12074.627460610134,18382132.0,22036196.0,298423.3125,4525402.0,13166067.0,-8640665.0,4525386.0,2636781.5,1888604.5,2400.0,0.0,0.6920567053232264
3587.5636213788653,7071.135177718001,12156902.0,12904822.0,170136.5,6547303.5,11151541.0,-4604237.5,6547280.5,4188067.75,2359212.75,2400.0,0.0,0.6249652255225271
1952.9833407660572,5549.840709159189,9746680.0,10128459.0,143490.5,3564194.5,7338468.0,-3774273.5,3564193.75,1755570.375,1808623.375,2400.0,0.0,0.7118182023666925
3384.879454534646,14039.347327540387,19369988.0,25429892.0,2096976.25,6177405.0,14606329.0,-8428924.0,6177391.5,3511200.75,2666190.75,2400.0,0.0,0.612832789845965
4151.228473696088,14304.057320070051,19520146.0,25818082.0,2485404.75,7575992.0,15718822.0,-8142830.0,7575973.5,4537682.5,3038291.0,2400.0,0.0,0.5845392209408172
1133.142849969435,10565.547853038563,16143809.0,19282124.0,218839.390625,2067985.75,10136748.0,-8068762.25,2068018.25,889576.0625,1178442.1875,2400.0,0.0,0.7561464174674793
3311.5026783251797,8579.507096827781,14065020.0,15657600.0,191571.75,6043492.5,11942942.0,-5899449.5,6043491.0,3886498.75,2156992.25,2400.0,0.0,0.6481249734316371
1967.7130889335644,9747.171423338055,15317819.0,17788588.0,207269.828125,3591076.5,10745252.0,-7154175.5,3591063.25,1971208.75,1619854.5,2400.0,0.0,0.7164667621421281
3880.615580043664,10256.650829690225,16417535.0,18718388.0,217912.359375,7082123.5,14169437.0,-7087313.5,7082093.5,4765479.5,2316614.0,2400.0,0.0,0.6363259503595501
2059.7405479868003,9556.518373042192,15082581.0,17440646.0,204368.0625,3759026.5,10742418.0,-6983391.5,3759026.0,2103116.0,1655910.0,2400.0,0.0,0.7114534906140649
4211.724499236853,7586.249660598642,12959818.0,13844906.0,179093.78125,7686397.0,12580753.0,-4894356.0,7686393.0,5157368.5,2529024.5,2400.0,0.0,0.6019058855843513
2326.470430820038,6834.704274369077,11517291.0,12473335.0,163454.578125,4245808.5,8993018.0,-4747209.5,4245798.0,2395909.0,1849889.0,2400.0,0.0,0.6888684818094898
1400.4580740927352,6628.259483264425,10930338.0,12096574.0,157852.734375,2555836.0,7439848.5,-4884012.5,2555827.0,1178951.25,1376875.75,2400.0,0.0,0.7459754402176844
3237.0265186637907,12998.415354369787,19119694.0,23722108.0,810334.8125,5907573.5,14505701.0,-8598127.5,5907543.5,3553941.5,2353602.0,2400.0,0.0,0.6452885428417446
3808.257582960966,10613.960825023409,16861708.0,19370478.0,223353.890625,6950070.0,14323505.0,-7373435.0,6950066.0,4665118.5,2284947.5,2400.0,0.0,0.640629062890332
2419.9919584606278,9270.921573326414,14804613.0,16919432.0,200730.765625,4416485.5,11069741.0,-6653255.5,4416460.5,2589657.75,1826802.75,2400.0,0.0,0.6938821824746932
1497.2384846019715,11843.377455813155,17903384.0,21614164.0,266481.1875,2732460.25,11563977.0,-8831516.75,2732466.25,1308920.625,1423545.625,2400.0,0.0,0.7353538550626788
4352.2597551146555,9881.079224552315,16018441.0,18032970.0,213157.484375,7942874.0,14633556.0,-6690682.0,7942869.5,5458200.0,2484669.5,2400.0,0.0,0.6166668155229142
2494.75996944377,7897.502278118086,12993509.0,14412942.0,180119.125,4552937.0,10092672.0,-5539735.0,4552887.0,2649990.5,1902896.5,2400.0,0.0,0.685099224770969
4175.459863498119,8900.504869000019,14705704.0,16243421.0,198428.0,7620214.5,13559751.0,-5939536.5,7620225.5,5136324.5,2483901.0,2400.0,0.0,0.6162390470638893
3024.9067069779726,11882.043922010369,18306972.0,21684730.0,270074.3125,5520454.5,13933411.0,-8412956.5,5520418.0,3447179.75,2073238.25,2400.0,0.0,0.6729221777562288
4001.939668867126,12740.116636980936,19126936.0,23250712.0,604060.8125,7303540.0,15697061.0,-8393521.0,7303496.0,4741152.0,2562344.0,2400.0,0.0,0.6259991571713162
4441.020674581264,6013.964407156058,10993040.0,10975485.0,157412.34375,8104862.5,11627795.0,-3522932.5,8104853.0,5330986.0,2773867.0,2400.0,0.0,0.5761446430679525
4172.8149153496115,8046.518023037006,13573932.0,14684895.0,185868.96875,7615387.0,12875256.0,-5259869.0,7615386.0,5100109.0,2515277.0,2400.0,0.0,0.6086888049218391
2620.6747944440185,9410.824465723872,15044996.0,17174754.0,203213.0625,4782731.5,11491951.0,-6709219.5,4782727.0,2874177.5,1908549.5,2400.0,0.0,0.6851875639403245
4107.5471846838245,5164.9718100091795,9879356.0,9426074.0,144853.515625,7496273.5,10340691.0,-2844417.5,7496281.5,4681796.0,2814485.5,2400.0,0.0,0.5838052906075827
1883.3240347575506,8381.169516066653,13452510.0,15295634.0,186038.625,3437066.25,9550742.0,-6113675.75,3437085.5,1845149.5,1591936.0,2400.0,0.0,0.7181297848397483
2938.56712166001,6558.487835304748,11341826.0,11969240.0,161091.484375,5362885.0,9702298.0,-4339413.0,5362868.5,3205700.5,2157168.0,2400.0,0.0,0.6543817333419878
4573.258000535414,11371.363289483103,17976672.0,20752738.0,241333.140625,8346196.0,16107251.0,-7761055.0,8346197.0,5810214.0,2535983.0,2400.0,0.0,0.6177776821652642
3391.5356928549177,5857.677851186679,10547873.0,10690262.0,152113.140625,6189552.5,9824975.0,-3635422.5,6189546.0,3783152.0,2406394.0,2400.0,0.0,0.6248808599170329
2218.878928121777,13874.249600507046,19134384.0,25221848.0,1825214.25,4049454.0,12962576.0,-8913122.0,4049481.5,2002408.25,2047073.25,2400.0,0.0,0.6536909085902636
4371.369656150395,10092.405390943903,16297968.0,18418640.0,216294.34375,7977749.5,14833756.0,-6856006.5,7977753.0,5498281.0,2479472.0,2400.0,0.0,0.6174317135303675
1699.4009215641481,14853.248302394284,19105864.0,26563764.0,3020725.0,3101406.75,12203990.0,-9102583.25,3101423.25,1260160.375,1841262.875,2400.0,0.0,0.6440503633372816
1002.3479038098538,14464.698361367387,18859872.0,26071878.0,2504266.75,1829284.875,11381608.0,-9552323.125,1829279.875,578676.9375,1250602.9375,2400.0,0.0,0.6759529014792004
1045.6217903516379,11577.800100675984,17416210.0,21129486.0,243397.984375,1908259.75,10749551.0,-8841291.25,1908267.375,773549.5,1134717.875,2400.0,0.0,0.7559858585556272
4756.337342058816,5318.639425534371,10202103.0,9706517.0,148899.9375,8680316.0,11525506.0,-2845190.0,8680305.0,5681741.5,2998563.5,2400.0,0.0,0.5548591755850505
3922.0807859570837,12706.964178045639,19091208.0,23190210.0,591256.5,7157797.5,15560696.0,-8402898.5,7157781.5,4625255.0,2532526.5,2400.0,0.0,0.6290761592832742
4705.949035561089,12189.617515430442,18854582.0,22246052.0,374478.53125,8588357.0,16689949.0,-8101592.0,8588364.0,5890047.0,2698317.0,2400.0,0.0,0.6114786244159893
