Gas Injection Rate (GRATES),Water Injection Rate (WRATES),oil_pro_vol,wat_inj_vol,wat_pro_vol,gas_inj_vol,gas_pro_vol,gas_retained,co2_injected,co2_backprod,co2_retained,prod_bhp,inj_bhp,ratio_oil_to_inj_vol
1305.2331574958287,14381.348210283491,18948412.0,25954656.0,2427909.75,2382050.5,11731981.0,-9349930.5,2382068.75,878328.125,1503740.625,2400.0,0.0,0.6686878730949202
4119.675168960459,9697.126947232173,15706077.0,17697256.0,209673.5,7518407.0,14106249.0,-6587842.0,7518398.5,5109814.0,2408584.5,2400.0,0.0,0.6228698805183112
2753.6369257635743,5056.419539189979,9389887.0,9227966.0,138982.546875,5025387.5,8120734.0,-3095346.5,5025393.5,2742207.5,2283186.0,2400.0,0.0,0.658784404666593
3893.860711323765,14992.08301397325,19566632.0,26676796.0,3261526.0,7106296.0,15290559.0,-8184263.0,7106263.0,4082795.75,3023467.25,2400.0,0.0,0.5791841670383516
4911.958047986411,5477.732126859358,10441852.0,9996861.0,151609.078125,8964323.0,11905220.0,-2940897.0,8964314.0,5924127.0,3040187.0,2400.0,0.0,0.5506962012498797
3153.9834816417347,8894.479040305367,14457041.0,16232424.0,196076.296875,5756020.0,11944499.0,-6188479.0,5755979.5,3663505.75,2092473.75,2400.0,0.0,0.6574835854688035
3004.481854639752,10390.56700681636,16416297.0,18962784.0,218679.578125,5483179.5,12859664.0,-7376484.5,5483130.5,3456411.0,2026719.5,2400.0,0.0,0.6715340551007531
1288.2045334390461,13917.334375542192,18893926.0,25291476.0,1831350.75,2350973.25,11724051.0,-9373077.75,2350978.75,901618.5625,1449360.1875,2400.0,0.0,0.6835112847317609
2073.7559204074846,13231.121116605418,18951720.0,24146796.0,1054763.125,3784604.5,12769890.0,-8985285.5,3784615.25,1914347.875,1870267.375,2400.0,0.0,0.6785094789643649
2999.53000330224,11093.86641044624,17342054.0,20246306.0,231251.9375,5474142.5,13370320.0,-7896177.5,5474103.5,3436792.75,2037310.75,2400.0,0.0,0.6742516173464083
3716.9199844837617,8986.022909758656,14692638.0,16399492.0,198426.21875,6783379.0,12917779.0,-6134400.0,6783344.5,4501836.5,2281508.0,2400.0,0.0,0.6337712874302756
4214.9561444175015,13344.787191622669,19364506.0,24354236.0,1202291.625,7692295.0,15989809.0,-8297514.0,7692275.0,4897820.0,2794455.0,2400.0,0.0,0.604262158671714
2523.7645325941535,13690.5838630567,19160344.0,24943564.0,1624707.875,4605870.5,13394442.0,-8788571.5,4605870.0,2419396.75,2186473.25,2400.0,0.0,0.6484166050622728
1263.7453876236204,13719.049073459855,18845890.0,24978442.0,1598995.375,2306335.25,11693760.0,-9387424.75,2306308.5,898841.75,1407466.75,2400.0,0.0,0.6907107881923427
2152.582397231974,12176.364354133486,18399928.0,22221864.0,342795.0625,3928462.75,12693481.0,-8765018.25,3928428.25,2154004.75,1774423.5,2400.0,0.0,0.7036213419398287
4638.374110878454,5977.873439779173,10997640.0,10909619.0,157539.578125,8465033.0,11910805.0,-3445772.0,8465039.0,5611356.5,2853682.5,2400.0,0.0,0.5676303244053106
